,In-degree,Out-degree,Betweenness,Closeness,Eigenvector
jenniferegbert,109.0,123.0,0.001660488746063137,0.5135693799288269,0.04082209914004791
robleathern,32.0,17.0,0.0001295301733973835,0.4758453745667822,0.012308700032516483
sarahkuta,141.0,115.99999999999999,0.0014759235440137285,0.5234299120234605,0.052263785416037815
sueprant,240.0,155.0,0.0026514610019912725,0.5655033621688207,0.07215939864434832
unicorn,260.0,263.0,0.011463533790129194,0.5868048341070184,0.08060362422879093
elaine,142.0,127.0,0.0016167761314035006,0.5225937620042537,0.04984800458351473
bouldercounty,367.0,41.0,0.001355933541084102,0.6439836516036669,0.1029102966578763
boulderpolice,296.0,68.0,0.0019199627664962964,0.6013670864240125,0.08132041361147616
boulderlibrary,198.0,76.0,0.0014377630407434205,0.5498213361590971,0.06243745230410562
bococlerk,169.0,86.0,0.000980231113099294,0.5367410910823015,0.0577719763125534
cuboulder,240.0,44.0,0.0012306471689167526,0.5724299125365928,0.07696784165625171
southwestee,45.0,70.0,0.00018048591105199722,0.47172847154241204,0.017125103466903355
bouldersymphony,72.0,203.0,0.001917827534208834,0.4949223827755867,0.027664553169111677
senmikefoote,152.0,69.0,0.0006301787326332751,0.5323737917244308,0.05070846544372565
bolderyoungpros,111.0,59.00000000000001,0.00029010470731444157,0.5002197171478024,0.038896192368299845
bmoca,85.0,46.0,0.0003298618711382039,0.49120674927126545,0.02998576408654957
boulderweekly,282.0,65.0,0.002268691223820095,0.5910455194483519,0.08508233307964444
bouldertheater,136.0,10.0,3.8607289317549754e-05,0.5143768789538723,0.042963211256531415
douginboulder,38.0,74.0,0.0001996665141700643,0.47863013169665364,0.017573670021237657
clnenergyaction,40.0,33.0,0.00012534057610940778,0.4666814479524433,0.014734392939062185
boulderchealth,109.0,84.0,0.0008844951286246419,0.5083818104345964,0.04111184180318798
edbyrneboulder,146.0,50.0,0.00035233842432055406,0.5164067798179365,0.04705648513508126
laurengifford,51.0,40.0,0.0001052046270254269,0.48215725131122,0.020570717530547105
repjaredpolis,146.0,47.99999999999999,0.00044284061107754117,0.5315088464901101,0.04576942997316718
elispat,100.0,163.0,0.0009985605440591997,0.5013696475320503,0.039298842155473655
boulderartscult,123.0,76.0,0.0010009624641490076,0.5127644122486876,0.04110718732004795
jamieharkins,127.0,138.0,0.0012328238846994121,0.5180422723905982,0.04626762818731763
coolenergyinc,5.0,7.0,2.7454205612537164e-06,0.43677395863105845,0.0025687203944809033
efaa_boulder,103.0,92.0,0.0006343694883626819,0.49907504960284177,0.03422291003430754
cosendem,186.99999999999997,156.0,0.0029526334114706007,0.5484387175434413,0.06077326870941341
boulderopera,27.0,74.0,6.595611023754792e-05,0.46272092647052726,0.010814843430375276
boulderparksrec,210.0,36.0,0.0008013633330337419,0.5549511365812769,0.0615292992623336
